央视,#genre#
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CGTN-英语,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN-纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8



CCTV-1 综合,http://bxny.667789.cn:55055/udp/229.58.190.72:5000
CCTV-2 财经,http://bxny.667789.cn:55055/udp/229.58.190.153:5000
CCTV-3 综艺,http://bxny.667789.cn:55055/udp/229.58.190.35:5000
CCTV-4 中文国际,http://bxny.667789.cn:55055/udp/229.58.190.131:5000
CCTV-5 体育,http://bxny.667789.cn:55055/udp/229.58.190.60:5000
CCTV-5+ 体育赛事,http://bxny.667789.cn:55055/udp/229.58.190.154:5000
CCTV-6 电影,http://bxny.667789.cn:55055/udp/229.58.190.61:5000
CCTV-7 国防军事,http://bxny.667789.cn:55055/udp/229.58.190.132:5000
CCTV-8 电视剧,http://bxny.667789.cn:55055/udp/229.58.190.63:5000
CCTV-9 纪录,http://bxny.667789.cn:55055/udp/229.58.190.156:5000
CCTV-10 科教,http://bxny.667789.cn:55055/udp/229.58.190.157:5000
CCTV-11 戏曲,http://bxny.667789.cn:55055/udp/229.58.190.134:5000
CCTV-12 社会与法,http://bxny.667789.cn:55055/udp/229.58.190.158:5000
CCTV-13 新闻,http://bxny.667789.cn:55055/udp/229.58.190.199:5000
CCTV-14 少儿,http://bxny.667789.cn:55055/udp/229.58.190.159:5000
CCTV-15 音乐,http://bxny.667789.cn:55055/udp/229.58.190.127:5000
CCTV-17 农业农村,http://bxny.667789.cn:55055/udp/229.58.190.211:5000
CCTV-电视指南,http://bxny.667789.cn:55055/udp/229.58.190.191:5000
CCTV-风云足球,http://bxny.667789.cn:55055/udp/229.58.190.182:5000
CCTV-女性时尚,http://bxny.667789.cn:55055/udp/229.58.190.187:5000
CCTV-世界地理,http://bxny.667789.cn:55055/udp/229.58.190.175:5000
CCTV-文化精品,http://bxny.667789.cn:55055/udp/229.58.190.189:5000
CCTV-央视台球,http://bxny.667789.cn:55055/udp/229.58.190.188:5000

CETV-1,http://bxny.667789.cn:55055/udp/229.58.190.57:5000
CETV-2,http://bxny.667789.cn:55055/udp/229.58.190.59:5000
CETV-4,http://bxny.667789.cn:55055/udp/229.58.190.66:5000
CETV-早期教育,http://bxny.667789.cn:55055/udp/229.58.190.174:5000
中央新影-老故事,http://bxny.667789.cn:55055/udp/229.58.190.194:5000
中央新影-中学生,http://bxny.667789.cn:55055/udp/229.58.190.99:5000
CCTV-1 综合,http://bxny.667789.cn:55055/udp/229.58.190.151:5000
CETV-1,http://bxny.667789.cn:55055/udp/229.58.190.26:5000
CETV-4,http://bxny.667789.cn:55055/udp/229.58.190.83:5000
CGTN-阿语,http://bxny.667789.cn:55055/udp/229.58.190.19:5000
CGTN-西语,http://bxny.667789.cn:55055/udp/229.58.190.18:5000
CGTN-纪录,http://bxny.667789.cn:55055/udp/229.58.190.23:5000
CGTN-法语,http://bxny.667789.cn:55055/udp/229.58.190.8:5000
CGTN-俄语,http://bxny.667789.cn:55055/udp/229.58.190.20:5000
CGTN-英语,http://bxny.667789.cn:55055/udp/229.58.190.138:5000


CCTV-1 综合,http://61.138.54.155:2233/hls/8/index.m3u8
CCTV-2 财经,http://61.138.54.155:2233/hls/9/index.m3u8
CCTV-3 综艺,http://61.138.54.155:2233/hls/10/index.m3u8
CCTV-4 中文国际,http://61.138.54.155:2233/hls/11/index.m3u8
CCTV-5 体育,http://61.138.54.155:2233/hls/12/index.m3u8
CCTV-10 科教,http://61.138.54.155:2233/hls/17/index.m3u8
CCTV-11 戏曲,http://61.138.54.155:2233/hls/18/index.m3u8
CCTV-12 社会与法,http://61.138.54.155:2233/hls/19/index.m3u8
CCTV-13 新闻,http://61.138.54.155:2233/hls/20/index.m3u8
CCTV-1 综合,http://61.138.54.155:2233/hls/59/index.m3u8
CCTV-2 财经,http://61.138.54.155:2233/hls/60/index.m3u8
cctv-5+ 体育赛事,http://61.138.54.155:2233/hls/61/index.m3u8
CCTV-12 社会与法,http://61.138.54.155:2233/hls/65/index.m3u8
CCTV-14 少儿,http://61.138.54.155:2233/hls/66/index.m3u8


CCTV-1 综合,http://112.101.78.50:9901/tsfile/live/0001_1.m3u8
CCTV-2 财经,http://112.101.78.50:9901/tsfile/live/0002_1.m3u8
CCTV-3 综艺,http://112.101.78.50:9901/tsfile/live/0003_1.m3u8
CCTV-4 中文国际,http://112.101.78.50:9901/tsfile/live/0004_1.m3u8
CCTV-5 体育,http://112.101.78.50:9901/tsfile/live/0005_1.m3u8
CCTV-6 电影,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8
CCTV-7 国防军事,http://112.101.78.50:9901/tsfile/live/0007_1.m3u8
CCTV-8 电视剧,http://112.101.78.50:9901/tsfile/live/0008_1.m3u8
CCTV-9 纪录,http://112.101.78.50:9901/tsfile/live/0009_1.m3u8
CCTV-10 科教,http://112.101.78.50:9901/tsfile/live/0010_1.m3u8
CCTV-13 新闻,http://112.101.78.50:9901/tsfile/live/0013_1.m3u8
CCTV-14 少儿,http://112.101.78.50:9901/tsfile/live/0014_1.m3u8
CETV-1,http://112.101.78.50:9901/tsfile/live/1003_1.m3u8

卫视,#genre#

安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226034/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8



北京卫视,http://bxny.667789.cn:55055/udp/229.58.190.172:5000
北京卫视,http://bxny.667789.cn:55055/udp/229.58.190.65:5000
湖南卫视,http://bxny.667789.cn:55055/udp/229.58.190.128:5000
湖南卫视,http://bxny.667789.cn:55055/udp/229.58.190.142:5000
东方卫视,http://bxny.667789.cn:55055/udp/229.58.190.144:5000
东方卫视,http://bxny.667789.cn:55055/udp/229.58.190.54:5000
四川卫视,http://bxny.667789.cn:55055/udp/229.58.190.38:5000
四川卫视,http://bxny.667789.cn:55055/udp/229.58.190.73:5000
天津卫视,http://bxny.667789.cn:55055/udp/229.58.190.161:5000
天津卫视,http://bxny.667789.cn:55055/udp/229.58.190.68:5000
安徽卫视,http://bxny.667789.cn:55055/udp/229.58.190.162:5000
安徽卫视,http://bxny.667789.cn:55055/udp/229.58.190.71:5000
山东卫视,http://bxny.667789.cn:55055/udp/229.58.190.160:5000
山东卫视,http://bxny.667789.cn:55055/udp/229.58.190.33:5000
广东卫视,http://bxny.667789.cn:55055/udp/229.58.190.53:5000
广东卫视,http://bxny.667789.cn:55055/udp/229.58.190.139:5000
广西卫视,http://bxny.667789.cn:55055/udp/229.58.190.145:5000
广西卫视,http://bxny.667789.cn:55055/udp/229.58.190.31:5000
江苏卫视,http://bxny.667789.cn:55055/udp/229.58.190.37:5000
江苏卫视,http://bxny.667789.cn:55055/udp/229.58.190.147:5000
江西卫视,http://bxny.667789.cn:55055/udp/229.58.190.208:5000
江西卫视,http://bxny.667789.cn:55055/udp/229.58.190.74:5000
河北卫视,http://bxny.667789.cn:55055/udp/229.58.190.209:5000
河北卫视,http://bxny.667789.cn:55055/udp/229.58.190.55:5000
河南卫视,http://bxny.667789.cn:55055/udp/229.58.190.103:5000
河南卫视,http://bxny.667789.cn:55055/udp/229.58.190.62:5000
浙江卫视,http://bxny.667789.cn:55055/udp/229.58.190.36:5000
浙江卫视,http://bxny.667789.cn:55055/udp/229.58.190.28:5000
海南卫视,http://bxny.667789.cn:55055/udp/229.58.190.25:5000
海南卫视,http://bxny.667789.cn:55055/udp/229.58.190.141:5000
深圳卫视,http://bxny.667789.cn:55055/udp/229.58.190.52:5000
深圳卫视,http://bxny.667789.cn:55055/udp/229.58.190.104:5000
湖北卫视,http://bxny.667789.cn:55055/udp/229.58.190.101:5000
湖北卫视,http://bxny.667789.cn:55055/udp/229.58.190.148:5000
山西卫视,http://bxny.667789.cn:55055/udp/229.58.190.84:5000
东南卫视,http://bxny.667789.cn:55055/udp/229.58.190.180:5000
东南卫视,http://bxny.667789.cn:55055/udp/229.58.190.168:5000
贵州卫视,http://bxny.667789.cn:55055/udp/229.58.190.100:5000
贵州卫视,http://bxny.667789.cn:55055/udp/229.58.190.143:5000
辽宁卫视,http://bxny.667789.cn:55055/udp/229.58.190.51:5000
辽宁卫视,http://bxny.667789.cn:55055/udp/229.58.190.146:5000
重庆卫视,http://bxny.667789.cn:55055/udp/229.58.190.67:5000
重庆卫视,http://bxny.667789.cn:55055/udp/229.58.190.27:5000
黑龙江卫视,http://bxny.667789.cn:55055/udp/229.58.190.150:5000
内蒙古卫视,http://bxny.667789.cn:55055/udp/229.58.190.183:5000
宁夏卫视,http://bxny.667789.cn:55055/udp/229.58.190.184:5000
陕西卫视,http://bxny.667789.cn:55055/udp/229.58.190.80:5000
甘肃卫视,http://bxny.667789.cn:55055/udp/229.58.190.185:5000
吉林卫视,http://bxny.667789.cn:55055/udp/229.58.190.214:5000
吉林卫视,http://bxny.667789.cn:55055/udp/229.58.190.140:5000
云南卫视,http://bxny.667789.cn:55055/udp/229.58.190.176:5000
青海卫视,http://bxny.667789.cn:55055/udp/229.58.190.149:5000
新疆卫视,http://bxny.667789.cn:55055/udp/229.58.190.179:5000
西藏卫视,http://bxny.667789.cn:55055/udp/229.58.190.177:5000
兵团卫视,http://bxny.667789.cn:55055/udp/229.58.190.178:5000
延边卫视,http://bxny.667789.cn:55055/udp/229.58.190.108:5000
大湾区卫视,http://bxny.667789.cn:55055/udp/229.58.190.115:5000
山东教育卫视,http://bxny.667789.cn:55055/udp/229.58.190.170:5000



黑龙江卫视,http://61.138.54.155:2233/hls/1/index.m3u8
吉林卫视,http://61.138.54.155:2233/hls/27/index.m3u8
西藏卫视,http://61.138.54.155:2233/hls/28/index.m3u8
兵团卫视,http://61.138.54.155:2233/hls/29/index.m3u8
新疆卫视,http://61.138.54.155:2233/hls/30/index.m3u8
贵州卫视,http://61.138.54.155:2233/hls/32/index.m3u8
东方卫视,http://61.138.54.155:2233/hls/34/index.m3u8
广西卫视,http://61.138.54.155:2233/hls/35/index.m3u8
辽宁卫视,http://61.138.54.155:2233/hls/36/index.m3u8
江苏卫视,http://61.138.54.155:2233/hls/37/index.m3u8
湖北卫视,http://61.138.54.155:2233/hls/39/index.m3u8
青海卫视,http://61.138.54.155:2233/hls/40/index.m3u8
内蒙古卫视,http://61.138.54.155:2233/hls/41/index.m3u8
重庆卫视,http://61.138.54.155:2233/hls/42/index.m3u8
东南卫视,http://61.138.54.155:2233/hls/43/index.m3u8
山东卫视,http://61.138.54.155:2233/hls/44/index.m3u8
山西卫视,http://61.138.54.155:2233/hls/45/index.m3u8
河南卫视,http://61.138.54.155:2233/hls/46/index.m3u8
宁夏卫视,http://61.138.54.155:2233/hls/47/index.m3u8
陕西卫视,http://61.138.54.155:2233/hls/48/index.m3u8
江西卫视,http://61.138.54.155:2233/hls/49/index.m3u8
四川卫视,http://61.138.54.155:2233/hls/50/index.m3u8
甘肃卫视,http://61.138.54.155:2233/hls/51/index.m3u8
安徽卫视,http://61.138.54.155:2233/hls/52/index.m3u8
天津卫视,http://61.138.54.155:2233/hls/53/index.m3u8
河北卫视,http://61.138.54.155:2233/hls/54/index.m3u8
湖南卫视,http://61.138.54.155:2233/hls/56/index.m3u8
黑龙江卫视,http://61.138.54.155:2233/hls/58/index.m3u8
东方卫视,http://61.138.54.155:2233/hls/67/index.m3u8
广东卫视,http://61.138.54.155:2233/hls/68/index.m3u8
深圳卫视,http://61.138.54.155:2233/hls/69/index.m3u8
江苏卫视,http://61.138.54.155:2233/hls/70/index.m3u8
浙江卫视,http://61.138.54.155:2233/hls/71/index.m3u8
东南卫视,http://61.138.54.155:2233/hls/72/index.m3u8



安徽卫视,http://39.134.65.162/PLTV/88888888/224/3221225923/index.m3u8
北京卫视,http://39.134.65.162/PLTV/88888888/224/3221225927/index.m3u8
江苏卫视,http://39.134.65.162/PLTV/88888888/224/3221225929/index.m3u8
辽宁卫视,http://39.134.65.162/PLTV/88888888/224/3221225944/index.m3u8
青海卫视,http://39.134.65.162/PLTV/88888888/224/3221225948/index.m3u8
西藏卫视,http://39.134.65.162/PLTV/88888888/224/3221225951/index.m3u8
云南卫视,http://39.134.65.162/PLTV/88888888/224/3221225957/index.m3u8
东方卫视,http://39.134.65.162/PLTV/88888888/224/3221225960/index.m3u8
广东卫视,http://39.134.65.162/PLTV/88888888/224/3221225962/index.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225982/index.m3u8
陕西卫视,http://39.134.65.162/PLTV/88888888/224/3221225989/index.m3u8
河北卫视,http://39.134.65.162/PLTV/88888888/224/3221225991/index.m3u8
江西卫视,http://39.134.65.162/PLTV/88888888/224/3221225995/index.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225997/index.m3u8
新疆卫视,http://39.134.65.162/PLTV/88888888/224/3221225999/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221226000/index.m3u8
重庆卫视,http://39.134.65.162/PLTV/88888888/224/3221226001/index.m3u8
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221226003/index.m3u8
兵团卫视,http://39.134.65.162/PLTV/88888888/224/3221226005/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221226006/index.m3u8
山西卫视,http://39.134.65.162/PLTV/88888888/224/3221226009/index.m3u8
吉林卫视,http://39.134.65.162/PLTV/88888888/224/3221226013/index.m3u8
四川卫视,http://39.134.65.162/PLTV/88888888/224/3221226014/index.m3u8
湖北卫视,http://39.134.65.162/PLTV/88888888/224/3221226015/index.m3u8
内蒙古卫视,http://39.134.65.162/PLTV/88888888/224/3221226017/index.m3u8
大湾区卫视,http://39.134.65.162/PLTV/88888888/224/3221226020/index.m3u8
河南卫视,http://39.134.65.162/PLTV/88888888/224/3221226023/index.m3u8
广西卫视,http://39.134.65.162/PLTV/88888888/224/3221226024/index.m3u8
海南卫视,http://39.134.65.162/PLTV/88888888/224/3221226026/index.m3u8
宁夏卫视,http://39.134.65.162/PLTV/88888888/224/3221226028/index.m3u8
贵州卫视,http://39.134.65.162/PLTV/88888888/224/3221226030/index.m3u8
山东卫视,http://39.134.65.162/PLTV/88888888/224/3221226034/index.m3u8
东南卫视,http://39.134.65.162/PLTV/88888888/224/3221226038/index.m3u8
延边卫视,http://39.134.65.162/PLTV/88888888/224/3221226040/index.m3u8
甘肃卫视,http://39.134.65.162/PLTV/88888888/224/3221226048/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221226056/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221226060/index.m3u8
安多卫视,http://39.134.65.162/PLTV/88888888/224/3221225531/index.m3u8
安徽卫视,http://39.134.65.162/PLTV/88888888/224/3221225925/index.m3u8
北京卫视,http://39.134.65.162/PLTV/88888888/224/3221225931/index.m3u8
北京卫视,http://39.134.65.162/PLTV/88888888/224/3221225678/index.m3u8
东方卫视,http://39.134.65.162/PLTV/88888888/224/3221225942/index.m3u8
东方卫视,http://39.134.65.162/PLTV/88888888/224/3221225672/index.m3u8
东南卫视,http://39.134.65.162/PLTV/88888888/224/3221225500/index.m3u8
东南卫视,http://39.134.65.162/PLTV/88888888/224/3221225950/index.m3u8
甘肃卫视,http://39.134.65.162/PLTV/88888888/224/3221225584/index.m3u8
广东卫视,http://39.134.65.162/PLTV/88888888/224/3221225966/index.m3u8
贵州卫视,http://39.134.65.162/PLTV/88888888/224/3221225576/index.m3u8
贵州卫视,http://39.134.65.162/PLTV/88888888/224/3221225974/index.m3u8
海南卫视,http://39.134.65.162/PLTV/88888888/224/3221225978/index.m3u8
海南卫视,http://39.134.65.162/PLTV/88888888/224/3221225530/index.m3u8
河北卫视,http://39.134.65.162/PLTV/88888888/224/3221225495/index.m3u8
河北卫视,http://39.134.65.162/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://39.134.65.162/PLTV/88888888/224/3221225988/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225985/index.m3u8
湖北卫视,http://39.134.65.162/PLTV/88888888/224/3221225975/index.m3u8
湖北卫视,http://39.134.65.162/PLTV/88888888/224/3221225569/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225977/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8
吉林卫视,http://39.134.65.162/PLTV/88888888/224/3221225981/index.m3u8
江苏卫视,http://39.134.65.162/PLTV/88888888/224/3221225503/index.m3u8
江苏卫视,http://39.134.65.162/PLTV/88888888/224/3221225938/index.m3u8
江西卫视,http://39.134.65.162/PLTV/88888888/224/3221225935/index.m3u8
康巴卫视,http://39.134.65.162/PLTV/88888888/224/3221225527/index.m3u8
辽宁卫视,http://39.134.65.162/PLTV/88888888/224/3221225499/index.m3u8
内蒙古卫视,http://39.134.65.162/PLTV/88888888/224/3221225577/index.m3u8
宁夏卫视,http://39.134.65.162/PLTV/88888888/224/3221225579/index.m3u8
青海卫视,http://39.134.65.162/PLTV/88888888/224/3221225573/index.m3u8
山东教育卫视,http://39.134.65.162/PLTV/88888888/224/3221225558/index.m3u8
山东卫视,http://39.134.65.162/PLTV/88888888/224/3221225952/index.m3u8
山西卫视,http://39.134.65.162/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.65.162/PLTV/88888888/224/3221225567/index.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225668/index.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225943/index.m3u8
四川卫视,http://39.134.65.162/PLTV/88888888/224/3221225970/index.m3u8
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221225972/index.m3u8
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.65.162/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.65.162/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225959/index.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225514/index.m3u8
重庆卫视,http://39.134.65.162/PLTV/88888888/224/3221225502/index.m3u8
重庆卫视,http://39.134.65.162/PLTV/88888888/224/3221225963/index.m3u8


//223.12.185.142:8084
湖南卫视,http://223.12.185.142:8084/udp/239.1.1.28:8028
四川卫视,http://223.12.185.142:8084/udp/239.1.1.29:8029
吉林卫视,http://223.12.185.142:8084/udp/239.1.1.30:8030
上海卫视,http://223.12.185.142:8084/udp/239.1.1.31:8031
湖北卫视,http://223.12.185.142:8084/udp/239.1.1.32:8032
东南卫视,http://223.12.185.142:8084/udp/239.1.1.33:8033
河南卫视,http://223.12.185.142:8084/udp/239.1.1.34:8034
江苏卫视,http://223.12.185.142:8084/udp/239.1.1.35:8035
重庆卫视,http://223.12.185.142:8084/udp/239.1.1.36:8036
黑龙江卫视,http://223.12.185.142:8084/udp/239.1.1.37:8037
浙江卫视,http://223.12.185.142:8084/udp/239.1.1.38:8038
深圳卫视,http://223.12.185.142:8084/udp/239.1.1.39:8039
广西卫视,http://223.12.185.142:8084/udp/239.1.1.40:8040
北京卫视,http://223.12.185.142:8084/udp/239.1.1.41:8041
辽宁卫视,http://223.12.185.142:8084/udp/239.1.1.42:8042
贵州卫视,http://223.12.185.142:8084/udp/239.1.1.43:8043
安徽卫视,http://223.12.185.142:8084/udp/239.1.1.44:8044
天津卫视,http://223.12.185.142:8084/udp/239.1.1.46:8046
山东卫视,http://223.12.185.142:8084/udp/239.1.1.47:8047
河北卫视,http://223.12.185.142:8084/udp/239.1.1.48:8048
广东卫视,http://223.12.185.142:8084/udp/239.1.1.49:8049
江西卫视,http://223.12.185.142:8084/udp/239.1.1.52:8052
陕西卫视,http://223.12.185.142:8084/udp/239.1.1.50:8050
甘肃卫视,http://223.12.185.142:8084/udp/239.1.1.51:8051
青海卫视,http://223.12.185.142:8084/udp/239.1.1.53:8053
云南卫视,http://223.12.185.142:8084/udp/239.1.1.54:8054
海南卫视,http://223.12.185.142:8084/udp/239.1.1.55:8055
宁夏卫视,http://223.12.185.142:8084/udp/239.1.1.56:8056
西藏卫视,http://223.12.185.142:8084/udp/239.1.1.57:8057
兵团卫视,http://223.12.185.142:8084/udp/239.1.1.58:8058
新疆卫视,http://223.12.185.142:8084/udp/239.1.1.59:8059
内蒙古卫视,http://223.12.185.142:8084/udp/239.1.1.60:8060
大湾区卫视,http://223.12.185.142:8084/udp/239.1.1.69:8069
三沙卫视,http://223.12.185.142:8084/udp/239.1.1.70:8070
厦门卫视,http://223.12.185.142:8084/udp/239.1.1.71:8071
山东教育卫视,http://223.12.185.142:8084/udp/239.1.1.74:8074
山西卫视,http://223.12.185.142:8084/udp/239.1.1.1:8001
黄河卫视,http://223.12.185.142:8084/udp/239.1.1.2:8002

//222.241.154.37:9901
湖南卫视,http://222.241.154.37:9901/tsfile/live/23019_1.m3u8
浙江卫视,http://222.241.154.37:9901/tsfile/live/23028_1.m3u8
